JobTitle,PersonType,SickLeaveHours,Department,GroupName
Chief Executive Officer,EM,69,Executive,Executive General and Administration
Vice President of Engineering,EM,20,Engineering,Research and Development
Engineering Manager,EM,21,Engineering,Research and Development
Senior Tool Designer,EM,80,Tool Design,Research and Development
Design Engineer,EM,22,Engineering,Research and Development
Design Engineer,EM,23,Engineering,Research and Development
Research and Development Manager,EM,50,Research and Development,Research and Development
Research and Development Engineer,EM,51,Research and Development,Research and Development
Research and Development Engineer,EM,51,Research and Development,Research and Development
Research and Development Manager,EM,64,Research and Development,Research and Development
Senior Tool Designer,EM,23,Tool Design,Research and Development
Tool Designer,EM,24,Tool Design,Research and Development
Tool Designer,EM,24,Tool Design,Research and Development
Senior Design Engineer,EM,21,Engineering,Research and Development
Design Engineer,EM,22,Engineering,Research and Development
Marketing Manager,EM,40,Marketing,Sales and Marketing
Marketing Assistant,EM,41,Marketing,Sales and Marketing
Marketing Specialist,EM,44,Marketing,Sales and Marketing
Marketing Assistant,EM,41,Marketing,Sales and Marketing
Marketing Assistant,EM,40,Marketing,Sales and Marketing
Marketing Specialist,EM,42,Marketing,Sales and Marketing
Marketing Specialist,EM,42,Marketing,Sales and Marketing
Marketing Specialist,EM,43,Marketing,Sales and Marketing
Marketing Specialist,EM,43,Marketing,Sales and Marketing
Vice President of Production,EM,52,Production,Manufacturing
Production Control Manager,EM,41,Production Control,Manufacturing
Production Supervisor - WC60,EM,60,Production,Manufacturing
Production Technician - WC60,EM,30,Production,Manufacturing
Production Technician - WC60,EM,29,Production,Manufacturing
Production Technician - WC60,EM,27,Production,Manufacturing
Production Technician - WC60,EM,29,Production,Manufacturing
Production Technician - WC60,EM,31,Production,Manufacturing
Production Technician - WC60,EM,28,Production,Manufacturing
Production Technician - WC60,EM,27,Production,Manufacturing
Production Technician - WC60,EM,31,Production,Manufacturing
Production Technician - WC60,EM,30,Production,Manufacturing
Production Technician - WC60,EM,28,Production,Manufacturing
Production Technician - WC60,EM,32,Production,Manufacturing
Production Technician - WC60,EM,32,Production,Manufacturing
Production Supervisor - WC60,EM,61,Production,Manufacturing
Production Technician - WC60,EM,37,Production,Manufacturing
Production Technician - WC60,EM,39,Production,Manufacturing
Production Technician - WC60,EM,37,Production,Manufacturing
Production Technician - WC60,EM,39,Production,Manufacturing
Production Technician - WC60,EM,38,Production,Manufacturing
Production Technician - WC60,EM,38,Production,Manufacturing
Production Supervisor - WC10,EM,52,Production,Manufacturing
Production Technician - WC10,EM,61,Production,Manufacturing
Production Technician - WC10,EM,64,Production,Manufacturing
Production Technician - WC10,EM,62,Production,Manufacturing
Production Technician - WC10,EM,62,Production,Manufacturing
Production Technician - WC10,EM,63,Production,Manufacturing
Production Technician - WC10,EM,63,Production,Manufacturing
Production Technician - WC10,EM,64,Production,Manufacturing
Production Supervisor - WC50,EM,59,Production,Manufacturing
Production Technician - WC50,EM,24,Production,Manufacturing
Production Technician - WC50,EM,25,Production,Manufacturing
Production Technician - WC50,EM,25,Production,Manufacturing
Production Technician - WC50,EM,26,Production,Manufacturing
Production Technician - WC50,EM,26,Production,Manufacturing
Production Technician - WC50,EM,24,Production,Manufacturing
Production Supervisor - WC60,EM,60,Production,Manufacturing
Production Technician - WC60,EM,35,Production,Manufacturing
Production Technician - WC60,EM,33,Production,Manufacturing
Production Technician - WC60,EM,34,Production,Manufacturing
Production Technician - WC60,EM,34,Production,Manufacturing
Production Technician - WC60,EM,36,Production,Manufacturing
Production Technician - WC60,EM,33,Production,Manufacturing
Production Technician - WC60,EM,35,Production,Manufacturing
Production Technician - WC60,EM,36,Production,Manufacturing
Production Supervisor - WC30,EM,55,Production,Manufacturing
Production Technician - WC30,EM,40,Production,Manufacturing
Production Technician - WC30,EM,41,Production,Manufacturing
Production Technician - WC30,EM,41,Production,Manufacturing
Production Technician - WC30,EM,42,Production,Manufacturing
Production Technician - WC30,EM,42,Production,Manufacturing
Production Technician - WC30,EM,43,Production,Manufacturing
Production Supervisor - WC40,EM,56,Production,Manufacturing
Production Technician - WC40,EM,50,Production,Manufacturing
Production Technician - WC40,EM,52,Production,Manufacturing
Production Technician - WC40,EM,52,Production,Manufacturing
Production Technician - WC40,EM,51,Production,Manufacturing
Production Technician - WC40,EM,50,Production,Manufacturing
Production Technician - WC40,EM,53,Production,Manufacturing
Production Technician - WC40,EM,51,Production,Manufacturing
Production Technician - WC40,EM,49,Production,Manufacturing
Production Supervisor - WC10,EM,53,Production,Manufacturing
Production Technician - WC10,EM,69,Production,Manufacturing
Production Technician - WC10,EM,68,Production,Manufacturing
Production Technician - WC10,EM,68,Production,Manufacturing
Production Technician - WC10,EM,67,Production,Manufacturing
Production Technician - WC10,EM,69,Production,Manufacturing
Production Supervisor - WC50,EM,59,Production,Manufacturing
Production Technician - WC50,EM,23,Production,Manufacturing
Production Technician - WC50,EM,20,Production,Manufacturing
Production Technician - WC50,EM,22,Production,Manufacturing
Production Technician - WC50,EM,20,Production,Manufacturing
Production Technician - WC50,EM,22,Production,Manufacturing
Production Technician - WC50,EM,21,Production,Manufacturing
Production Technician - WC50,EM,23,Production,Manufacturing
Production Technician - WC50,EM,21,Production,Manufacturing
Production Supervisor - WC10,EM,53,Production,Manufacturing
Production Technician - WC10,EM,66,Production,Manufacturing
Production Technician - WC10,EM,67,Production,Manufacturing
Production Technician - WC10,EM,65,Production,Manufacturing
Production Technician - WC10,EM,66,Production,Manufacturing
Production Technician - WC10,EM,65,Production,Manufacturing
Production Supervisor - WC50,EM,58,Production,Manufacturing
Production Technician - WC50,EM,67,Production,Manufacturing
Production Technician - WC50,EM,65,Production,Manufacturing
Production Technician - WC50,EM,66,Production,Manufacturing
Production Technician - WC50,EM,65,Production,Manufacturing
Production Technician - WC50,EM,68,Production,Manufacturing
Production Technician - WC50,EM,68,Production,Manufacturing
Production Technician - WC50,EM,66,Production,Manufacturing
Production Technician - WC50,EM,69,Production,Manufacturing
Production Technician - WC50,EM,69,Production,Manufacturing
Production Technician - WC50,EM,64,Production,Manufacturing
Production Technician - WC50,EM,67,Production,Manufacturing
Production Technician - WC50,EM,64,Production,Manufacturing
Shipping and Receiving Supervisor,EM,66,Shipping and Receiving,Inventory Management
Stocker,EM,68,Shipping and Receiving,Inventory Management
Shipping and Receiving Clerk,EM,67,Shipping and Receiving,Inventory Management
Stocker,EM,69,Shipping and Receiving,Inventory Management
Shipping and Receiving Clerk,EM,67,Shipping and Receiving,Inventory Management
Stocker,EM,68,Shipping and Receiving,Inventory Management
Production Supervisor - WC40,EM,56,Production,Manufacturing
Production Technician - WC40,EM,54,Production,Manufacturing
Production Technician - WC40,EM,54,Production,Manufacturing
Production Technician - WC40,EM,55,Production,Manufacturing
Production Technician - WC40,EM,56,Production,Manufacturing
