BusinessEntityID,Name,SquareFeet,NumberEmployees,AnnualRevenue
334,Global Plaza,19000,19,80000.00
336,Imported and Domestic Cycles,24000,20,100000.00
338,Systematic Sales,73000,55,300000.00
340,eCommerce Bikes,69000,58,300000.00
342,Mountain Toy Store,18000,17,80000.00
344,Retail Sales and Service,18000,14,80000.00
346,Designated Distributors,72000,61,300000.00
348,Bold Bike Accessories,72000,58,300000.00
350,Twin Cycles,21000,11,80000.00
352,Tiny Bike Boutique,6000,4,30000.00
354,Acclaimed Bicycle Company,73000,61,300000.00
356,Serious Cycles,71000,64,300000.00
358,Quality Bike Sales,74000,67,300000.00
360,Novelty Bikes,74000,70,300000.00
362,Distinctive Cycles Sales & Service,75000,79,300000.00
364,Leading Bike Distributors,18000,13,80000.00
366,Activity Center,37000,37,150000.00
368,Brightwork Company,36000,38,150000.00
370,Resale Services,21000,16,80000.00
372,The Gear Store,21000,14,80000.00
374,Immense Manufacturing Company,76000,73,300000.00
376,Extended Bike Sales,73000,76,300000.00
378,Pedaling Components,36000,35,150000.00
380,Workout Emporium,39000,36,150000.00
382,Work and Play Association,22000,12,80000.00
384,Seaside Bike Works,19000,10,80000.00
386,Nice Bikes,9000,8,30000.00
388,Remarkable Bike Store,17000,10,80000.00
390,Road-Way Mart,26000,27,100000.00
392,Small Cycle Store,25000,28,100000.00
394,Blue-Ribbon Bike Company,9000,6,30000.00
396,Flawless Bike Shop,10000,4,30000.00
332,Family's Favorite Bike Shop,21000,18,80000.00
330,Major Sport Suppliers,68000,52,300000.00
328,Purchase Mart,38000,49,150000.00
326,Worthwhile Activity Store,8000,7,30000.00
324,Valley Toy Store,9000,6,30000.00
322,Irregulars Outlet,7000,5,30000.00
320,Metropolitan Sales and Rental,6000,4,30000.00
318,"Great Bikes ",10000,3,30000.00
316,Fun Toys and Bikes,6000,2,30000.00
314,Top of the Line Bikes,40000,46,150000.00
312,Vinyl and Plastic Goods Corporation,41000,43,150000.00
310,New Bikes Company,39000,40,150000.00
308,Valley Bicycle Specialists,72000,66,300000.00
306,Clamps & Brackets Co.,17000,10,80000.00
304,Bicycle Accessories and Kits,7000,9,30000.00
302,Area Bike Accessories,9000,8,30000.00
300,Nationwide Supply,21000,17,80000.00
298,The Bike Mechanics,18000,16,80000.00
296,Riders Company,21000,15,80000.00
294,Professional Sales and Service,18000,14,80000.00
292,Next-Door Bike Store,21000,13,80000.00
398,Grand Bicycle Stores,10000,2,30000.00
400,Exertion Activities Club,38000,32,150000.00
402,Impromptu Trips,37000,33,150000.00
404,Margie's Travel,35000,34,150000.00
406,Kickstand Sellers,8000,3,30000.00
408,Nearest Bike Store,8000,4,30000.00
410,Fast Bike Works,25000,28,100000.00
412,Gasless Cycle Shop,24000,29,100000.00
414,Lubricant and Grease Suppliers,37000,30,150000.00
416,Teen Discount Store,18000,16,80000.00
418,Transportation Options,20000,17,80000.00
420,Capital Riding Supplies,39000,46,150000.00
422,Bike Boutique,41000,49,150000.00
424,Bikes Anyone?,27000,22,100000.00
426,Cross-town Parts Shop,23000,19,80000.00
428,Finer Cycle Shop,20000,16,80000.00
430,Center Cycle Shop,25000,20,100000.00
432,Bulk Discount Store,21000,17,80000.00
434,Country Parts Shop,21000,14,80000.00
436,Second Bike Shop,21000,19,80000.00
438,First-Rate Outlet,26000,20,100000.00
440,Juvenile Sports Equipment,20000,18,80000.00
442,Another Bicycle Company,6000,2,30000.00
444,Fourth Bike Store,9000,3,30000.00
446,Rodeway Bike Store,7000,4,30000.00
448,Traction Tire Company,39000,31,150000.00
450,Unsurpassed Bikes,39000,32,150000.00
452,Field Trip Inc,35000,33,150000.00
454,Tire Company,37000,45,150000.00
456,Uncompromising Quality Co,39000,46,150000.00
458,Metallic Paint and Overcoat Co,26000,28,100000.00
460,Pro Sporting Goods,79000,90,300000.00
462,Sporting Goods and Bicycle Shop,78000,91,300000.00
464,Odometers and Accessories Company,76000,92,300000.00
466,Scratch-Resistant Finishes Company,21000,16,80000.00
468,Topnotch Bikes,22000,13,80000.00
470,"Unicycles, Bicycles, and Tricycles",17000,10,80000.00
472,Safe Cycles Shop,72000,73,300000.00
474,Number 1 Supply,75000,76,300000.00
476,Industrial Supplies,73000,79,300000.00
478,Golf and Cycle Store,75000,86,300000.00
480,Front Runner Bikes,77000,87,300000.00
482,Favorite Toy Distributor,77000,88,300000.00
484,World Bike Discount Store,39000,38,150000.00
486,Global Sporting Goods,36000,39,150000.00
488,Historic Bicycle Sales,38000,40,150000.00
490,Commuter Bicycle Store,22000,17,80000.00
492,Coalition Bike Company,23000,18,80000.00
494,Travel Systems,21000,19,80000.00
496,Grease and Oil Products Company,36000,38,150000.00
498,Moderately-Priced Bikes Store,39000,39,150000.00
500,Toy Manufacturing Inc,40000,41,150000.00
502,Eighty Toy Stores,37000,42,150000.00
504,Economy Bikes Company,41000,43,150000.00
506,Third Bike Store,37000,44,150000.00
508,Atypical Bike Company,25000,20,100000.00
510,Bikes for Two,22000,18,80000.00
512,Metal Processing Company,39000,47,150000.00
514,Widget Bicycle Specialists,38000,48,150000.00
516,Initial Bike Company,19000,13,80000.00
518,Latest Sports Equipment,18000,14,80000.00
520,Modern Bike Store,21000,15,80000.00
522,Raw Materials Inc,74000,73,300000.00
524,Lots of Bikes Storehouse,73000,76,300000.00
526,Futuristic Bikes,77000,79,300000.00
528,Parcel Express Delivery Service,36000,38,150000.00
530,Outdoor Distributors,36000,39,150000.00
532,North Bike Company,37000,40,150000.00
534,Prosperous Tours,79000,99,300000.00
536,Nonskid Tire Company,80000,100,300000.00
538,Amalgamated Parts Shop,77000,99,300000.00
540,Metro Bike Works,77000,100,300000.00
542,Best o' Bikes,19000,10,80000.00
544,Painters Bicycle Specialists,24000,27,100000.00
546,Client Discount Store,24000,20,100000.00
548,Eastside Sporting Goods,19000,17,80000.00
550,Helmets and Cycles,21000,14,80000.00
552,Requisite Part Supply,39000,35,150000.00
554,Racks and Security Systems,39000,36,150000.00
556,Mechanical Products Ltd.,38000,37,150000.00
558,Commendable Bikes,37000,39,150000.00
560,Online Bike Sellers,39000,40,150000.00
562,Custom Accessories Company,79000,98,300000.00
564,Unusual Bicycle Company,78000,99,300000.00
566,Courteous Bicycle Specialists,10000,8,30000.00
568,Hobby Store,6000,5,30000.00
570,Professional Cycle Store,10000,2,30000.00
572,Bike Universe,28000,28,100000.00
574,Fifth Bike Store,26000,25,100000.00
576,Independent Outlet,25000,22,100000.00
578,Rambling Tours,19000,19,80000.00
580,Farthest Bike Store,74000,80,300000.00
582,Excellent Bikes,75000,81,300000.00
584,Curbside Universe,73000,82,300000.00
586,Alternative Vehicles,41000,45,150000.00
588,Channel Outlet,40000,46,150000.00
590,Full Sports Supply,38000,47,150000.00
592,Retail Mall,79000,91,300000.00
594,Racing Store,78000,92,300000.00
596,Metro Metals Co.,77000,93,300000.00
598,Sheet Metal Manufacturing,19000,17,80000.00
600,Thorough Parts and Repair Services,22000,18,80000.00
602,Uttermost Bike Shop,20000,19,80000.00
604,Mechanical Sports Center,40000,40,150000.00
606,Speedometer Sales,39000,37,150000.00
608,Two-Wheeled Transit Company,38000,34,150000.00
610,Mountain Emporium,37000,31,150000.00
612,Metro Cycle Shop,74000,83,300000.00
614,Outdoor Sporting Goods,74000,84,300000.00
616,Tread Industries,77000,85,300000.00
